GeneSymbol	cohort1_rep1	cohort1_rep2	cohort2_rep1	cohort2_rep2
TRNP	0	0	0	0
TRNT	0	0	0	0
CYTB	0	0	0	0
TRNE	0	0	0	0
ND6	0	0	0	0
ND5	0	0	0	0
TRNL2	0	0	0	0
TRNS2	0	0	0	0
TRNH	0	0	0	0
ND4	0	0	0	0
ND4L	0	0	0	0
TRNR	0	0	0	0
ND3	0	0	0	0
TRNG	0	0	0	0
COX3	0	0	0	0
ATP6	0	0	0	0
ATP8	0	0	0	0
TRNK	0	0	0	0
COX2	0	0	0	0
TRND	0	0	0	0
TRNS1	0	0	0	0
COX1	0	0	0	0
TRNY	0	0	0	0
TRNC	0	0	0	0
TRNN	0	0	0	0
TRNA	0	0	0	0
TRNW	0	0	0	0
ND2	0	0	0	0
TRNM	0	0	0	0
TRNQ	0	0	0	0
TRNI	0	0	0	0
ND1	0	0	0	0
TRNL1	0	0	0	0
RNR2	0	0	0	0
TRNV	0	0	0	0
RNR1	0	0	0	0
TRNF	0	0	0	0
NSF	623	858	702	740
RN7SL199P	0	0	0	0
LRRC37A2	4	0	0	0
ARL17A	1	0	2	2
RDM1P2	0	4	0	0
MAPK8IP1P2	0	0	0	0
RPS26P8	0	0	0	1
ARF2P	4	12	9	11
LINC02210	10	6	10	10
CRHR1	0	0	0	0
LINC02210-CRHR1	0	0	0	0
SPPL2C	0	0	0	0
MAPT-AS1	3	1	0	0
MAPT-IT1	7	12	2	6
STH	1	0	0	0
MAPT	378	513	257	228
KANSL1-AS1	0	0	0	0
KANSL1	227	276	211	212
RDM1P1	0	0	0	0
RN7SL656P	0	0	0	0
LRRC37A	2	5	1	3
NSFP1	6	10	18	7
RDM1P4	0	0	0	0
LOC102724345	1	1	0	0
LRRC37A3	37	45	43	31
MIR4315-1	0	0	0	0
PLEKHM1	19	22	20	17
ARHGAP27	8	3	11	3
RNA5SP443	0	0	0	0
LOC642381	0	0	0	0
LOC100289568	0	0	0	0
UGT2A3	0	0	0	0
LOC100174950	0	0	0	0
UGT2B10	0	0	0	0
LOC100422189	0	0	0	0
LOC100422026	0	0	0	0
LOC728811	0	0	0	0
UGT2B15	12	25	9	6
LOC728807	0	0	0	0
TMPRSS11E	0	0	0	0
MT2P1	0	0	0	1
YTHDC1	0	1	0	1
ZBTB9	5	9	9	8
MIR5004	0	0	0	0
SYNGAP1	2	1	2	0
CUTA	0	0	0	0
PHF1	9	15	13	21
RPL12P1	0	0	0	0
KIFC1	2	2	6	0
SMIM40	0	0	0	0
RPS18	1	4	0	1
VPS52	6	9	11	10
HCG25	0	0	0	0
ZNF70P1	0	0	0	0
