Tag Length (Average tag length = 42.704717)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000015
3	0.000020
4	0.000051
5	0.000046
6	0.000040
7	0.000036
8	0.000039
9	0.000039
10	0.000040
11	0.000042
12	0.000045
13	0.000044
14	0.000046
15	0.000046
16	0.000050
17	0.000049
18	0.000048
19	0.000697
20	0.002098
21	0.003414
22	0.004125
23	0.004418
24	0.004521
25	0.004583
26	0.004640
27	0.004686
28	0.004703
29	0.004688
30	0.004659
31	0.004625
32	0.004563
33	0.004496
34	0.004480
35	0.004471
36	0.004470
37	0.004493
38	0.004507
39	0.004599
40	0.005172
41	0.000025
42	0.001725
43	0.000000
44	0.904445
