Tag Length (Average tag length = 54.039625)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000014
3	0.000023
4	0.000043
5	0.000049
6	0.000047
7	0.000048
8	0.000050
9	0.000051
10	0.000051
11	0.000053
12	0.000056
13	0.000057
14	0.000058
15	0.000060
16	0.000062
17	0.000064
18	0.000064
19	0.000662
20	0.001955
21	0.003182
22	0.003866
23	0.004188
24	0.004328
25	0.004434
26	0.004509
27	0.004556
28	0.004581
29	0.004578
30	0.004533
31	0.004495
32	0.004437
33	0.004417
34	0.004414
35	0.004417
36	0.004420
37	0.004448
38	0.004450
39	0.004451
40	0.004424
41	0.004386
42	0.004349
43	0.004321
44	0.004306
45	0.004339
46	0.004331
47	0.004439
48	0.004615
49	0.005336
50	0.005100
51	0.007912
52	0.015413
53	0.061839
54	0.160331
55	0.541877
56	0.000336
57	0.000338
58	0.000332
59	0.000333
60	0.000335
61	0.000335
62	0.000331
63	0.000330
64	0.000332
65	0.000330
66	0.000331
67	0.000326
68	0.000328
69	0.000327
70	0.000329
71	0.000330
72	0.000345
73	0.000336
74	0.000406
75	0.000351
76	0.000629
77	0.000383
78	0.000854
79	0.000440
80	0.001193
81	0.000010
82	0.001222
83	0.000000
84	0.065041
