name	Unique Positions	Total Tags
genome	99269658	49634836.0
pairedEnd=true
localInteractionFraction=0.002691
interChrInteractionFraction=0.213521
fragmentLengthEstimate=216		
peakSizeEstimate=216		
tagsPerBP=0.016042		
averageTagsPerPosition=0.000		
medianTagsPerPosition=0		
averageTagLength=54.040		
gsizeEstimate=3094120174		
averageFragmentGCcontent=-1.000		
chr1	6275248	3712194.5
chr2	7546275	4314485.5
chr3	9248909	4624455.5
chr4	5217095	2608547.5
chr5	6938465	3469232.5
chr6	5938589	2969295.5
chr7	5769655	2884827.5
chr8	6136350	3068175.0
chr9	3814084	1907043.0
chr10	4102986	2051493.0
chr11	3398786	1699393.0
chr12	4792615	2396307.5
chr13	2651885	1325942.5
chr14	4005639	2002819.5
chr15	3044648	1522325.0
chr16	2388772	1194387.0
chr17	3691373	1845686.5
chr18	1794752	897376.0
chr19	888708	444354.0
chr20	4109881	2054940.5
chr21	1091519	545759.5
chr22	525713	262856.5
chrX	3651913	1825956.5
chrY	1677	838.5
chrM	12288	6144.0
cmd=makeTagDirectory hicup_processed mcf7_t0_R1.bam,mcf7_t0_R2.bam -tbp 1		
